TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Mischief,2020,9,1,22,19,6XX E HASTINGS ST,Strathcona,493481.3481,5458711.7064
Mischief,2020,5,7,0,0,6XX E KING EDWARD AVE,Riley Park,493338.9545,5455098.6542
Mischief,2020,4,25,14,30,6XX E PENDER ST,Strathcona,493350.2976,5458607.9754
Mischief,2020,11,6,8,0,6XX E PENDER ST,Strathcona,493397.4664,5458616.1829
Mischief,2020,9,4,16,0,6XX E PENDER ST,Strathcona,493431.4014,5458615.5078
Mischief,2020,6,4,23,23,6XX EVANS AVE,Strathcona,493405.8709,5457733.8715
Mischief,2020,6,5,7,41,6XX EVANS AVE,Strathcona,493405.8709,5457733.8715
Mischief,2020,5,27,19,32,6XX EVANS AVE,Strathcona,493456.6573,5457720.7206
Mischief,2020,3,7,9,0,6XX EXPO BLVD,Central Business District,492026.8276,5458398.0591
Mischief,2020,3,10,20,21,6XX EXPO BLVD,Central Business District,492026.8276,5458398.0591
Mischief,2020,1,8,22,0,6XX EXPO BLVD,Central Business District,492080.5773,5458435.4767
Mischief,2020,2,6,15,10,6XX EXPO BLVD,Central Business District,492080.5773,5458435.4767
Mischief,2020,2,7,11,30,6XX EXPO BLVD,Central Business District,492080.5773,5458435.4767
Mischief,2020,5,6,23,28,6XX EXPO BLVD,Central Business District,492080.5773,5458435.4767
Mischief,2020,8,5,11,55,6XX EXPO BLVD,Central Business District,492080.5773,5458435.4767
Mischief,2020,10,22,18,0,6XX EXPO BLVD,Central Business District,492080.5773,5458435.4767
Mischief,2020,10,23,8,31,6XX EXPO BLVD,Central Business District,492080.5773,5458435.4767
Mischief,2020,12,26,13,58,6XX EXPO BLVD,Central Business District,492080.5773,5458435.4767
Mischief,2020,7,13,19,0,6XX EXPO BLVD,Central Business District,492082.9142,5458437.1036
Mischief,2020,10,5,15,0,6XX EXPO BLVD,Central Business District,492082.9142,5458437.1036
Mischief,2020,10,7,22,0,6XX EXPO BLVD,Central Business District,492082.9142,5458437.1036
Mischief,2020,1,16,16,16,6XX EXPO BLVD,Central Business District,492090.4755,5458431.2258
Mischief,2020,2,14,1,24,6XX EXPO BLVD,Central Business District,492090.4755,5458431.2258
Mischief,2020,10,27,5,22,6XX FAIRCHILD RD,Oakridge,491284.4377,5453101.2285
Mischief,2020,10,1,19,0,6XX GORE AVE,Strathcona,492933.6991,5458443.4982
Mischief,2020,3,7,16,26,6XX GRANVILLE ST,Central Business District,491444.6134,5458895.098
Mischief,2020,2,10,18,15,6XX GRANVILLE ST,Central Business District,491445.9138,5458896.4061
Mischief,2020,12,1,17,0,6XX GRANVILLE ST,Central Business District,491445.9138,5458896.4061
Mischief,2020,1,29,23,58,6XX GRANVILLE ST,Central Business District,491516.6268,5458980.6038
Mischief,2020,4,16,17,35,6XX GRANVILLE ST,Central Business District,491516.6268,5458980.6038
Mischief,2020,11,26,18,28,6XX GRANVILLE ST,Central Business District,491532.4734,5458983.586
Mischief,2020,8,30,8,15,6XX HAMILTON ST,Central Business District,491814.2011,5458700.6777
Mischief,2020,9,20,9,34,6XX HAMILTON ST,Central Business District,491814.2011,5458700.6777
Mischief,2020,2,2,11,24,6XX HELMCKEN ST,Central Business District,491003.2909,5458328.1514
Mischief,2020,5,10,4,33,6XX HELMCKEN ST,Central Business District,491003.2909,5458328.1514
Mischief,2020,5,20,7,51,6XX HELMCKEN ST,Central Business District,491003.2909,5458328.1514
Mischief,2020,8,4,23,17,6XX HELMCKEN ST,Central Business District,491003.2909,5458328.1514
Mischief,2020,12,13,21,40,6XX HELMCKEN ST,Central Business District,491003.2909,5458328.1514
Mischief,2020,10,30,18,38,6XX HOMER ST,Central Business District,491743.9877,5458771.2913
Mischief,2020,3,29,1,39,6XX HORNBY ST,Central Business District,491336.6385,5459071.1001
Mischief,2020,7,9,17,17,6XX HOWE ST,Central Business District,491425.8478,5459033.7063
Mischief,2020,10,6,4,30,6XX JACKSON AVE,Strathcona,493203.1468,5458509.5833
