TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2022,8,11,0,0,7XX E HASTINGS ST,Strathcona,493516.9154,5458719.3106
Break and Enter Commercial,2022,7,15,0,33,7XX POWELL ST,Strathcona,493538.7796,5458914.2092
Break and Enter Commercial,2022,6,25,0,0,7XX RAYMUR AVE,Strathcona,493949.931,5458369.0815
Break and Enter Commercial,2022,6,30,8,20,7XX RAYMUR AVE,Strathcona,493949.931,5458369.0815
Break and Enter Commercial,2022,3,13,4,17,7XX TERMINAL AVE,Strathcona,493619.4349,5457566.9179
Break and Enter Commercial,2022,2,22,0,30,8XX E HASTINGS ST,Strathcona,493688.7831,5458702.3969
Break and Enter Commercial,2022,7,8,5,50,8XX E HASTINGS ST,Strathcona,493744.874,5458700.5712
Break and Enter Commercial,2022,1,11,17,30,8XX E HASTINGS ST,Strathcona,493761.6688,5458709.1735
Break and Enter Commercial,2022,3,20,8,30,8XX GREAT NORTHERN WAY,Strathcona,493822.3157,5457023.3463
Break and Enter Commercial,2022,7,1,6,19,8XX POWELL ST,Strathcona,493701.6432,5458908.584
Break and Enter Commercial,2022,5,9,21,0,8XX POWELL ST,Strathcona,493715.3729,5458907.895
Break and Enter Commercial,2022,10,9,6,14,8XX POWELL ST,Strathcona,493715.3729,5458907.895
Break and Enter Commercial,2022,7,24,1,26,9XX E HASTINGS ST,Strathcona,493904.4298,5458704.2456
Break and Enter Commercial,2022,9,15,3,58,9XX EVANS AVE,Strathcona,493978.2064,5457594.7559
Break and Enter Commercial,2022,1,20,23,42,9XX EVANS AVE,Strathcona,493982.4806,5457584.2349
Break and Enter Commercial,2022,5,2,1,21,9XX EVANS AVE,Strathcona,493982.4806,5457584.2349
Break and Enter Commercial,2022,9,10,0,0,9XX GEORGE ST,Strathcona,494185.6934,5458139.5096
Break and Enter Commercial,2022,1,29,19,6,9XX MAIN ST,Strathcona,492745.3985,5458172.8011
Break and Enter Commercial,2022,8,14,7,2,9XX MAIN ST,Strathcona,492746.4007,5458211.3836
