TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Residential/Other,2022,4,8,15,30,9XX W 13TH AVE,Fairview,490918.0039,5456327.667
Break and Enter Residential/Other,2022,1,3,13,8,9XX W 7TH AVE,Fairview,490938.0972,5456941.3426
Mischief,2022,4,17,21,0,10XX W 11TH AVE,Fairview,490721.1968,5456543.0942
Mischief,2022,4,17,21,30,10XX W 11TH AVE,Fairview,490737.8639,5456542.7142
Mischief,2022,3,29,7,21,10XX W 15TH AVE,Fairview,490751.4437,5456119.708
Mischief,2022,6,7,21,18,10XX W 6TH AVE,Fairview,490739.2499,5457031.005
Mischief,2022,5,27,0,0,10XX W 7TH AVE,Fairview,490630.9166,5456949.1039
Mischief,2022,9,11,12,5,10XX W BROADWAY AVE,Fairview,490719.1481,5456742.998
Mischief,2022,3,1,0,0,11XX THE CASTINGS ST,Fairview,490488.3229,5457088.0932
Mischief,2022,3,19,20,30,11XX W 11TH AVE,Fairview,490481.1307,5456548.4075
Mischief,2022,9,30,19,0,11XX W 8TH AVE,Fairview,490520.4662,5456859.3179
Mischief,2022,8,30,5,50,11XX W BROADWAY AVE,Fairview,490497.0106,5456758.092
Mischief,2022,3,17,23,0,11XX W BROADWAY AVE,Fairview,490562.7571,5456747.1147
Mischief,2022,6,12,16,0,11XX W BROADWAY AVE,Fairview,490562.7571,5456747.1147
Mischief,2022,9,6,19,30,11XX W BROADWAY AVE,Fairview,490562.7571,5456747.1147
Mischief,2022,9,10,7,12,11XX W BROADWAY AVE,Fairview,490562.7571,5456747.1147
Mischief,2022,10,22,12,0,11XX W BROADWAY AVE,Fairview,490562.7571,5456747.1147
Mischief,2022,3,28,8,0,12XX W 10TH AVE,Fairview,490312.8107,5456655.644
Mischief,2022,8,30,18,34,12XX W 11TH AVE,Fairview,490430.7333,5456540.3502
Mischief,2022,6,24,14,25,12XX W 8TH AVE,Fairview,490368.1931,5456862.6929
Mischief,2022,9,12,12,0,12XX W BROADWAY AVE,Fairview,490341.7582,5456752.9558
Mischief,2022,4,20,14,41,12XX W BROADWAY AVE,Fairview,490414.2173,5456760.3095
Mischief,2022,5,9,18,51,13XX W 11TH AVE,Fairview,490153.715,5456546.4179
Mischief,2022,5,6,22,0,13XX W 11TH AVE,Fairview,490233.489,5456544.6526
Mischief,2022,5,30,17,0,13XX W 4TH AVE,Fairview,490119.0966,5457137.316
Mischief,2022,4,20,12,0,13XX W BROADWAY AVE,Fairview,490202.9643,5456756.6016
Mischief,2022,4,20,16,0,13XX W BROADWAY AVE,Fairview,490202.9643,5456756.6016
Mischief,2022,10,20,15,25,13XX W BROADWAY AVE,Fairview,490213.1361,5456765.4658
Mischief,2022,6,17,21,0,13XX W BROADWAY AVE,Fairview,490229.4103,5456755.865
Mischief,2022,2,26,23,0,14XX FOUNTAIN WAY,Fairview,490069.5486,5457324.2716
Mischief,2022,3,26,22,0,14XX FOUNTAIN WAY,Fairview,490069.5486,5457324.2716
Mischief,2022,3,8,9,0,14XX OLD BRIDGE ST,Fairview,490176.6005,5457495.7943
Mischief,2022,3,12,11,30,14XX OLD BRIDGE ST,Fairview,490256.8285,5457585.8274
Mischief,2022,2,13,13,48,14XX PENNYFARTHING DR,Fairview,489734.6938,5457789.7878
Mischief,2022,1,4,10,30,14XX W 12TH AVE,Fairview,490013.7114,5456449.9384
Mischief,2022,4,21,22,30,14XX W 13TH AVE,Fairview,490001.1403,5456341.5989
Mischief,2022,8,7,2,5,14XX W 13TH AVE,Fairview,490082.6798,5456339.9062
Mischief,2022,4,28,3,8,14XX W 7TH AVE,Fairview,490076.5332,5456953.8492
Mischief,2022,5,2,12,39,14XX W 7TH AVE,Fairview,490076.5332,5456953.8492
Mischief,2022,5,31,3,28,14XX W BROADWAY AVE,Fairview,489938.9002,5456771.8638
Mischief,2022,3,7,8,0,14XX W BROADWAY AVE,Fairview,489973.7058,5456762.018
Mischief,2022,8,11,5,53,14XX W BROADWAY AVE,Fairview,489973.7058,5456762.018
Mischief,2022,9,6,6,0,14XX W BROADWAY AVE,Fairview,490043.381,5456760.6176
Mischief,2022,2,8,9,59,15XX BURRARD ST,Fairview,489446.4245,5457739.4199
Mischief,2022,1,20,2,0,15XX W 14TH AVE,Fairview,489819.1392,5456246.0347
Mischief,2022,2,17,20,0,15XX W 14TH AVE,Fairview,489822.8328,5456255.1
Mischief,2022,1,19,18,0,15XX W 15TH AVE,Fairview,489810.2585,5456144.5982
Mischief,2022,2,13,19,21,15XX W 16TH AVE,Fairview,489783.6318,5456049.1796
Mischief,2022,2,20,23,56,15XX W 1ST AVE,Fairview,489748.383,5457601.8342
Mischief,2022,8,26,8,30,15XX W 1ST AVE,Fairview,489811.3325,5457645.5782
Mischief,2022,2,10,1,32,15XX W 2ND AVE,Fairview,489770.9443,5457443.6947
Mischief,2022,1,13,18,0,15XX W 2ND AVE,Fairview,489830.8411,5457441.9111
Mischief,2022,8,13,22,0,15XX W 2ND AVE,Fairview,489881.3203,5457449.0279
Mischief,2022,4,13,16,45,15XX W 3RD AVE,Fairview,489795.7699,5457353.1124
Mischief,2022,3,27,15,5,15XX W 3RD AVE,Fairview,489819.6542,5457352.4817
Mischief,2022,4,4,0,16,15XX W 5TH AVE,Fairview,489811.8952,5457140.9933
Mischief,2022,10,12,0,30,15XX W 6TH AVE,Fairview,489813.2413,5457063.5684
Mischief,2022,8,18,17,0,15XX W 6TH AVE,Fairview,489876.1294,5457061.894
Mischief,2022,10,2,12,0,15XX W 6TH AVE,Fairview,489876.1294,5457061.894
Mischief,2022,8,30,6,0,15XX W 7TH AVE,Fairview,489836.8165,5456969.3923
Mischief,2022,8,6,19,41,15XX W BROADWAY AVE,Fairview,489837.81,5456773.6629
Mischief,2022,7,1,19,39,15XX W BROADWAY AVE,Fairview,489850.6167,5456773.442
Mischief,2022,2,9,9,30,16XX DURANLEAU ST,Fairview,490115.0342,5457716.9952
Mischief,2022,9,29,18,0,16XX W 10TH AVE,Fairview,489687.5148,5456663.3496
Mischief,2022,2,5,19,0,16XX W 13TH AVE,Fairview,489683.1737,5456358.4978
Mischief,2022,6,9,17,0,16XX W 2ND AVE,Fairview,489596.784,5457456.9796
Mischief,2022,5,20,18,0,16XX W 3RD AVE,Fairview,489684.5258,5457356.2936
Mischief,2022,2,3,13,35,16XX W 4TH AVE,Fairview,489589.3217,5457249.8832
Mischief,2022,5,31,16,30,16XX W BROADWAY AVE,Fairview,489720.7981,5456766.8174
Mischief,2022,8,13,1,45,17XX W 10TH AVE,Fairview,489556.6596,5456666.7076
Mischief,2022,10,21,9,1,17XX W 4TH AVE,Fairview,489500.2712,5457252.3801
Mischief,2022,3,24,3,4,17XX W 4TH AVE,Fairview,489500.5269,5457261.5206
